7,4,28
8,8,12
3,5,28
2,5,23
6,22,9
8,31,10
5,35,4
4,4,5
6,7,2
4,10,6
4,3,35
3,8,5
4,5,45
5,6,24
3,26,3
5,4,40
3,3,24
3,3,18
8,4,34
3,5,26
6,29,7
6,6,31
6,33,12
7,124,1
7,18,12
9,14,2
4,10,23
4,36,12
6,7,32
5,6,6
4,6,15
4,9,34
8,6,14
8,5,24
9,33,8
5,4,23
7,8,20
4,3,6
4,6,12
3,5,33
4,6,19
1,12,23
3,7,26
8,7,3
7,30,11
6,17,6
5,127,1
7,6,7
5,9,26
5,44,10
4,4,36
7,5,29
4,4,46
5,4,25
9,28,16
2,9,20
3,4,25
2,15,8
5,26,20
