2011-07-05,"Alistar","Blitzcrank","Caitlyn","Galio","Heimerdinger","Kog'Maw","Pantheon","Ryze","Yorick","Zilean"
2011-07-12,"Annie","Cassiopeia","Cho'Gath","Fiddlesticks","Garen","Rammus","Renekton","Sivir","Soraka","Vayne"
2011-07-19,"Anivia","Ashe","Malphite","Maokai","Master Yi","Mordekaiser","Morgana","Poppy","Rumble","Twisted Fate"
2011-07-26,"Katarina","Leona","Malzahar","Nunu","Shen","Sion","Teemo","Urgot","Veigar","Zilean"
2011-08-02,"Amumu","Corki","Heimerdinger","Jax","Miss Fortune","Nasus","Ryze","Singed","Taric","Trundle"
2011-08-09,"Ashe","Brand","Dr. Mundo","Galio","Gangplank","Janna","Kassadin","Malphite","Sivir","Wukong"
2011-08-15,"Annie","Blitzcrank","Caitlyn","Lux","Kog'Maw","Maokai","Master Yi","Morgana","Rammus","Warwick"
2011-08-23,"Cho'Gath","Gragas","Nidalee","Ryze","Shen","Skarner","Teemo","Urgot","Veigar","Zilean"
2011-08-30,"Alistar","Ashe","Garen","Janna","Karthus","Kassadin","Lee Sin","Leona","Miss Fortune","Sion"
2011-09-06,"Corki","Ezreal","Fiddlesticks","Galio","Katarina","Malphite","Poppy","Ryze","Shaco","Soraka"
2011-09-13,"Amumu","Annie","Caitlyn","Gangplank","Karma","Nocturne","Nunu","Singed","Sivir","Talon"
2011-09-20,"Ashe","Blitzcrank","Cho'Gath","Heimerdinger","Mordekaiser","Orianna","Rammus","Taric","Twisted Fate","Xin Zhao"
2011-09-27,"Alistar","Cassiopeia","Maokai","Master Yi","Miss Fortune","Rumble","Urgot","Veigar","Wukong","Zilean"
2011-10-04,"Fiddlesticks","Garen","Kassadin","Kog'Maw","Malphite","Morgana","Nidalee","Riven","Shen","Vayne"
2011-10-11,"Anivia","Ezreal","Katarina","Leona","Ryze","Singed","Sivir","Skarner","Sona","Yorick"
2011-10-18,"Amumu","Annie","Ashe","Cho'Gath","Corki","Jarvan IV","Master Yi","Nasus","Soraka","Xerath"
2011-10-25,"Alistar","Heimerdinger","Irelia","Kassadin","Mordekaiser","Nunu","Rammus","Twisted Fate","Urgot","Zilean"
2011-11-01,"Galio","Gangplank","Graves","Jax","Malzahar","Miss Fortune","Singed","Sona","Tryndamere","Vladimir"
2011-11-08,"Amumu","Caitlyn","Fiddlesticks","Kayle","Nasus","Olaf","Shen","Teemo","Veigar","Warwick"
2011-11-15,"Blitzcrank","Brand","Gangplank","Kog'Maw","Malphite","Maokai","Ryze","Sivir","Shyvana","Taric"
2011-11-22,"Annie","Ashe","Cho'Gath","Katarina","Orianna","Rammus","Renekton","Skarner","Soraka","Vayne"
2011-11-29,"Fizz","Heimerdinger","Kassadin","Leona","Master Yi","Miss Fortune","Morgana","Singed","Talon","Urgot"
2011-12-06,"Alistar","Caitlyn","Corki","LeBlanc","Mordekaiser","Riven","Shen","Sion","Swain","Zilean"
2011-12-13,"Amumu","Anivia","Ashe","Malphite","Poppy","Sivir","Sona","Veigar","Volibear","Wukong"
2011-12-20,"Ezreal","Fiddlesticks","Galio","Karma","Katarina","Nunu","Rammus","Ryze","Teemo","Warwick"
2011-12-27,"Ahri","Annie","Blitzcrank","Cho'Gath","Irelia","Janna","Miss Fortune","Shen","Skarner","Twitch"
2012-01-03,"Alistar","Brand","Caitlyn","Garen","Graves","Maokai","Master Yi","Nocturne","Xerath","Zilean"
2012-01-10,"Amumu","Gangplank","Heimerdinger","Kog'Maw","Nasus","Pantheon","Singed","Sivir","Taric","Viktor"
2012-01-17,"Ashe","Kassadin","Malphite","Morgana","Rammus","Renekton","Shyvana","Vayne","Veigar","Warwick"
2012-01-24,"Cho'Gath","Corki","Fiddlesticks","Katarina","Leona","Miss Fortune","Mordekaiser","Sion","Soraka","Vladimir"
2012-01-31,"Caitlyn","Cassiopeia","Galio","Jax","Nunu","Ryze","Sejuani","Shen","Urgot","Zilean"
2012-02-07,"Amumu","Annie","Blitzcrank","Graves","Maokai","Nasus","Sona","Swain","Teemo","Wukong"
2012-02-14,"Alistar","Ashe","Gangplank","Heimerdinger","Janna","Lee Sin","Malphite","Sivir","Volibear","Ziggs"
2012-02-21,"Caitlyn","Fizz","Kassadin","Malzahar","Master Yi","Miss Fortune","Rammus","Singed","Talon","Taric"
2012-02-28,"Ashe","Cho'Gath","Corki","Fiddlesticks","Garen","Jarvan IV","Morgana","Nautilus","Riven","Veigar"
2012-03-06,"Ahri","Galio","Graves","Katarina","Kog'Maw","LeBlanc","Shen","Skarner","Soraka","Warwick"
2012-03-13,"Alistar","Annie","Ezreal","Fiora","Maokai","Mordekaiser","Sion","Sivir","Xerath","Zilean"
2012-03-20,"Amumu","Blitzcrank","Malphite","Miss Fortune","Nocturne","Orianna","Ryze","Sejuani","Sona","Vayne"
2012-03-27,"Caitlyn","Cho'Gath","Gangplank","Kassadin","Master Yi","Nasus","Rammus","Swain","Taric","Urgot"
2012-04-03,"Ashe","Graves","Karthus","Leona","Singed","Trundle","Tryndamere","Wukong","Ziggs","Zilean"
2012-04-10,"Annie","Gragas","Lulu","Malphite","Miss Fortune","Shen","Sivir","Veigar","Xin Zhao","Yorick"
2012-04-17,"Alistar","Dr. Mundo","Galio","Heimerdinger","Kog'Maw","Morgana","Poppy","Skarner","Teemo","Viktor"
2012-04-24,"Ahri","Corki","Graves","Maokai","Nunu","Rammus","Ryze","Shaco","Sion","Soraka"
2012-05-01,"Ashe","Brand","Cho'Gath","Fiddlesticks","Hecarim","Nidalee","Singed","Udyr","Vayne","Zilean"
2012-05-08,"Annie","Caitlyn","Kayle","Leona","Malphite","Olaf","Talon","Twisted Fate","Vladimir","Warwick"
2012-05-15,"Cassiopeia","Garen","Kennen","Miss Fortune","Mordekaiser","Nautilus","Shen","Shyvana","Sivir","Sona"
2012-05-22,"Alistar","Graves","Lux","Malzahar","Maokai","Master Yi","Morgana","Riven","Varus","Volibear"
2012-05-29,"Amumu","Anivia","Caitlyn","Katarina","Kog'Maw","Nasus","Pantheon","Sejuani","Soraka","Veigar"
2012-06-05,"Cho'Gath","Darius","Galio","Gangplank","Heimerdinger","Janna","Kassadin","Urgot","Vayne","Wukong"
2012-06-12,"Corki","Garen","Jax","Miss Fortune","Rammus","Ryze","Singed","Skarner","Taric","Xerath"
2012-06-19,"Annie","Blitzcrank","Fiddlesticks","Fiora","Graves","Leona","Malphite","Rumble","Sona","Teemo"
2012-06-26,"Alistar","Caitlyn","Draven","Fizz","LeBlanc","Nunu","Orianna","Poppy","Shen","Zilean"
2012-07-03,"Akali","Ashe","Jarvan IV","Kayle","Maokai","Sejuani","Sivir","Swain","Veigar","Warwick"
2012-07-10,"Amumu","Cho'Gath","Heimerdinger","Kog'Maw","Master Yi","Miss Fortune","Morgana","Renekton","Sion","Ziggs"
